0,1,2
8.4,12.7,-8.3
9.2,12.5,-8.0
9.3,11.9,-2.8
9.5,14.1,-12.1
9.5,11.6,0.0
9.7,12.1,-7.3
10.0,13.8,-11.9
10.2,13.2,-8.5
10.2,13.5,-11.8
10.4,12.2,-9.1
10.5,13.4,-11.2
10.5,13.7,-12.1
10.9,13.3,-9.6
11.1,14.2,-12.7
11.1,13.0,-11.9
11.1,12.5,-9.3
11.2,12.2,-9.9
11.2,13.8,-12.5
11.2,12.6,-10.3
11.3,12.2,-11.1
11.3,12.0,-4.3
11.4,12.9,-11.6
11.4,13.8,-13.2
11.6,12.9,-12.0
11.6,11.8,-9.1
11.6,13.3,-12.2
11.6,12.5,-11.3
11.8,12.1,-11.7
11.9,11.3,-10.5
11.9,11.9,-11.0
11.9,12.3,-12.1
12.0,11.1,-11.3
12.1,11.4,-11.4
12.1,13.6,-12.6
12.1,11.5,-11.6
12.2,10.6,-11.3
12.5,12.9,-13.1
12.5,12.7,-12.2
13.0,12.0,-12.6
