Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.1 (0.0),6.8 (0.6),12.1 (1.3),16.6 (1.3),20.2 (1.9),24.0 (2.2)
retrain,RF,UCB,0.1 (0.0),5.5 (1.6),7.3 (1.4),8.6 (1.0),11.5 (1.0),13.8 (1.0)
retrain,RF,TS,0.1 (0.0),4.1 (0.4),7.9 (1.6),12.7 (2.5),16.7 (2.3),20.1 (2.0)
retrain,RF,EI,0.1 (0.0),4.9 (0.8),6.0 (0.8),7.0 (0.8),8.5 (1.9),9.8 (2.3)
retrain,RF,PI,0.1 (0.0),5.1 (0.3),6.6 (0.7),7.6 (0.7),8.4 (1.0),9.7 (1.3)
retrain,NN,Greedy,0.1 (0.0),8.0 (0.3),16.1 (0.5),22.4 (0.3),28.3 (0.4),33.2 (0.3)
retrain,NN,UCB,0.1 (0.0),6.8 (0.3),14.0 (0.1),20.7 (0.3),26.4 (0.8),31.5 (0.6)
retrain,NN,TS,0.1 (0.0),6.3 (0.4),13.4 (0.7),20.0 (0.5),26.0 (0.4),31.0 (0.8)
retrain,NN,EI,0.1 (0.0),6.9 (0.4),10.0 (1.0),11.8 (1.4),13.1 (0.3),14.5 (0.8)
retrain,NN,PI,0.1 (0.0),6.9 (0.5),10.1 (0.8),11.0 (0.7),12.3 (1.0),15.2 (1.4)
retrain,MPN,Greedy,0.1 (0.0),8.2 (0.6),23.9 (0.3),35.9 (0.9),44.8 (1.2),52.0 (0.5)
retrain,MPN,UCB,0.1 (0.0),7.3 (1.5),16.8 (1.4),27.9 (0.4),38.2 (0.5),47.1 (0.5)
retrain,MPN,TS,0.1 (0.0),7.2 (0.3),18.3 (0.3),30.1 (0.6),40.7 (0.8),49.4 (0.3)
retrain,MPN,EI,0.1 (0.0),8.0 (1.3),13.1 (1.3),19.5 (1.5),25.4 (1.4),30.5 (1.8)
retrain,MPN,PI,0.1 (0.0),6.9 (0.5),12.8 (0.9),19.5 (1.7),25.4 (1.7),31.1 (1.3)
online,RF,Greedy,0.1 (0.0),6.8 (0.4),8.4 (0.4),12.5 (0.3),13.0 (0.1),15.9 (0.4)
online,RF,UCB,0.1 (0.0),4.7 (0.8),5.0 (0.8),7.8 (0.5),8.4 (0.3),10.7 (1.6)
online,RF,TS,0.1 (0.0),3.9 (0.0),4.0 (0.1),7.9 (0.1),8.0 (0.1),11.0 (0.1)
online,RF,EI,0.1 (0.0),5.3 (0.6),5.6 (0.5),7.7 (0.6),7.8 (0.6),9.4 (1.8)
online,RF,PI,0.1 (0.0),4.8 (0.5),5.0 (0.5),7.4 (1.1),7.7 (1.3),8.2 (1.1)
online,NN,Greedy,0.1 (0.0),7.4 (0.1),10.1 (1.6),13.4 (0.5),16.5 (0.8),17.9 (2.7)
online,NN,UCB,0.1 (0.0),7.3 (0.2),7.4 (0.2),8.3 (1.1),8.9 (1.6),10.0 (2.7)
online,NN,TS,0.1 (0.0),7.2 (0.2),8.1 (0.5),12.2 (0.8),13.9 (0.7),16.9 (0.9)
online,NN,EI,0.1 (0.0),6.2 (0.2),6.2 (0.2),7.7 (2.0),7.8 (2.2),7.8 (2.2)
online,NN,PI,0.1 (0.0),6.5 (0.4),7.3 (1.5),8.4 (3.0),8.5 (3.0),8.6 (3.2)
online,MPN,Greedy,0.1 (0.0),9.3 (1.3),13.1 (1.8),24.7 (1.6),28.4 (0.9),36.5 (2.8)
online,MPN,UCB,0.1 (0.0),9.1 (0.3),13.5 (1.8),24.0 (1.6),26.4 (1.7),29.1 (4.3)
online,MPN,TS,0.1 (0.0),6.1 (0.0),16.0 (2.0),28.5 (1.3),37.6 (2.5),45.8 (2.9)
online,MPN,EI,0.1 (0.0),6.9 (1.0),8.4 (0.8),13.7 (0.9),15.7 (1.6),23.3 (1.7)
online,MPN,PI,0.1 (0.0),6.9 (0.8),9.6 (0.9),15.9 (1.0),19.3 (0.9),25.2 (0.8)
